product_id,store_id,order_date,selling_price,customer_id,order_id
P0353,S0090,02-04-2022,3649,123549736,1111139711
P0131,S0117,15-08-2023,4129,123527577,1111137877
P0311,S0067,26-07-2021,1618,123544435,1111162708
P0603,S0038,20-07-2023,2218,123535771,1111148103
P0318,S0045,03-07-2022,4387,123475264,1111132591
P0481,S0113,28-12-2022,777,123567029,1111135216
P0427,S0097,11-06-2022,4498,123535555,1111159120
P0372,S0090,06-01-2023,2934,123557635,1111150028
P0436,S0105,27-09-2022,3876,123554401,1111167765
P0328,S0095,22-07-2022,3769,123545052,1111185708
P0546,S0028,08-01-2024,2645,123548349,1111163439
P0147,S0117,25-03-2022,483,123471367,1111125607
P0206,S0009,07-02-2023,4764,123510363,1111136009
P0527,S0131,31-03-2022,433,123470675,1111135798
P0735,S0058,13-05-2022,2411,123481180,1111122666
P0311,S0027,05-04-2021,4074,123492135,1111130132
P0220,S0067,09-04-2022,808,123502745,1111135009
P0087,S0008,22-10-2022,397,123469221,1111179990
P0183,S0051,27-09-2023,1337,123461729,1111178006
P0695,S0038,30-07-2023,3322,123458295,1111146275
P0491,S0040,24-09-2023,4907,123517728,1111166918
P0520,S0094,28-03-2023,373,123558209,1111137309
P0195,S0052,16-03-2022,4702,123557639,1111139516
P0312,S0026,12-04-2023,189,123529270,1111167189
P0286,S0138,26-12-2022,2412,123556783,1111173794
P0694,S0020,01-07-2021,4551,123466412,1111155459
P0356,S0108,11-10-2021,1831,123471368,1111129798
P0241,S0046,26-06-2023,2547,123535706,1111122440
P0162,S0070,13-05-2021,3300,123524713,1111138726
P0499,S0011,02-06-2022,2613,123539376,1111126096
P0281,S0069,22-01-2024,1659,123528598,1111185598
P0428,S0138,19-09-2023,907,123480955,1111160011
P0246,S0096,06-06-2023,778,123490978,1111166736
P0241,S0085,28-05-2023,1108,123529408,1111181602
P0185,S0074,10-08-2022,2987,123554140,1111175498
P0059,S0101,09-12-2022,110,123542748,1111153122
P0608,S0008,30-08-2023,1991,123538280,1111174364
P0718,S0122,30-05-2022,3710,123487199,1111112890
P0481,S0094,23-10-2021,1629,123457737,1111180111
P0499,S0139,15-01-2023,2306,123524238,1111143982
P0695,S0050,07-02-2023,4588,123564453,1111180670
P0226,S0031,23-10-2021,1789,123555577,1111144864
P0275,S0133,06-03-2022,4746,123530816,1111136538
P0157,S0031,18-07-2023,858,123467472,1111133502
P0083,S0093,16-02-2022,646,123538540,1111152945
P0210,S0038,16-09-2021,4390,123519929,1111137999
P0015,S0074,08-01-2021,4242,123490282,1111114024
P0658,S0116,13-09-2021,1635,123552493,1111158281
P0572,S0023,11-12-2023,2368,123516008,1111123125
P0405,S0110,11-02-2024,1687,123498222,1111147099
P0061,S0067,22-02-2023,2652,123551375,1111165220
P0408,S0031,14-12-2023,3257,123480489,1111169228
P0131,S0107,03-05-2022,4437,123529841,1111136870
P0078,S0008,19-01-2023,3572,123556830,1111137339
P0417,S0104,20-10-2023,4663,123510116,1111113802
P0555,S0094,01-12-2022,2424,123544149,1111165475
P0509,S0090,21-02-2021,3572,123506241,1111166220
